brood,datetime,observed,dead,swimming,graduated,Date Spawned,eggs produced (m),age,surviving,fraction_surviving,age_days
21-01,2021-03-29T00:00:00Z,TRUE,0,774.3,0,2021-03-29T00:00:00Z,774.3,0,774.3,1,0
21-01,2021-03-29T12:30:00Z,TRUE,-57.40000000000009,831.7,0,2021-03-29T00:00:00Z,774.3,45000,831.7,1.0741314735890484,0.5208333333333334
21-01,2021-03-31T09:10:00Z,TRUE,679.8,94.5,0,2021-03-29T00:00:00Z,774.3,205800,94.5,0.12204571871367688,2.381944444444444
21-01,2021-04-02T07:50:00Z,TRUE,664.5,109.8,0,2021-03-29T00:00:00Z,774.3,373800,109.8,0.14180550174351028,4.326388888888888
21-01,2021-04-05T07:45:00Z,TRUE,683.4,90.9,0,2021-03-29T00:00:00Z,774.3,632700,90.9,0.11739635800077491,7.322916666666667
21-01,2021-04-08T07:00:00Z,TRUE,780.6,84.6,0,2021-03-29T00:00:00Z,774.3,889200,84.6,0.10925997675319643,10.291666666666666
21-01,2021-04-12T06:30:00Z,TRUE,890.28,58.5,1.02,2021-03-29T00:00:00Z,774.3,1233000,59.52,0.07686943045331268,14.270833333333334
21-01,2021-04-13T08:00:00Z,FALSE,899.74,NA,9.559999999999999,2021-03-29T00:00:00Z,774.3,1324800,NA,NA,15.333333333333334
21-01,2021-04-14T09:05:00Z,TRUE,959.74,39,9.559999999999999,2021-03-29T00:00:00Z,774.3,1415100,48.56,0.0627147100607,16.37847222222222
21-01,2021-04-15T06:30:00Z,FALSE,962.83,NA,12.469999999999999,2021-03-29T00:00:00Z,774.3,1492200,NA,NA,17.270833333333332
21-01,2021-04-16T06:45:00Z,TRUE,996.5600000000001,24.5,26.24,2021-03-29T00:00:00Z,774.3,1579500,50.739999999999995,0.06553015627017951,18.28125
21-01,2021-04-18T07:30:00Z,TRUE,1022.45,17.1,32.25,2021-03-29T00:00:00Z,774.3,1755000,49.35,0.0637349864393646,20.3125
21-02,2021-03-31T00:00:00Z,TRUE,0,1203.2,0,2021-03-31T00:00:00Z,1203.2,0,1203.2,1,0
21-02,2021-03-31T02:30:00Z,TRUE,0.010000000000218279,1203.1899999999998,0,2021-03-31T00:00:00Z,1203.2,9000,1203.1899999999998,0.9999916888297871,0.10416666666666667
21-02,2021-04-02T07:50:00Z,TRUE,801.8000000000001,401.4,0,2021-03-31T00:00:00Z,1203.2,201000,401.4,0.3336103723404255,2.326388888888889
21-02,2021-04-06T07:00:00Z,TRUE,865.7,337.5,0,2021-03-31T00:00:00Z,1203.2,543600,337.5,0.2805019946808511,6.291666666666667
21-02,2021-04-09T07:15:00Z,TRUE,1374.2,166.5,0,2021-03-31T00:00:00Z,1203.2,803700,166.5,0.1383809840425532,9.302083333333334
21-02,2021-04-12T06:30:00Z,TRUE,1639.79,63.900000000000006,3.5100000000000002,2021-03-31T00:00:00Z,1203.2,1060200,67.41000000000001,0.056025598404255327,12.270833333333334
21-02,2021-04-13T08:00:00Z,FALSE,1647.153,NA,10.547,2021-03-31T00:00:00Z,1203.2,1152000,NA,NA,13.333333333333334
21-02,2021-04-14T09:05:00Z,TRUE,1707.613,50.4,13.087,2021-03-31T00:00:00Z,1203.2,1242300,63.486999999999995,0.05276512632978723,14.378472222222221
21-02,2021-04-16T06:45:00Z,TRUE,1759.093,39.8,22.607,2021-03-31T00:00:00Z,1203.2,1406700,62.407,0.05186751994680851,16.28125
21-02,2021-04-18T07:30:00Z,TRUE,1804.191,30.6,26.509,2021-03-31T00:00:00Z,1203.2,1582200,57.109,0.047464261968085106,18.3125
21-03,2021-04-02T00:00:00Z,TRUE,0,779.4,0,2021-04-02T00:00:00Z,779.4,0,779.4,1,0
21-03,2021-04-06T07:00:00Z,TRUE,403.2,376.2,0,2021-04-02T00:00:00Z,779.4,370800,376.2,0.48267898383371827,4.291666666666667
21-03,2021-04-09T07:15:00Z,TRUE,445.46999999999997,333.93,0,2021-04-02T00:00:00Z,779.4,630900,333.93,0.4284449576597383,7.302083333333333
21-03,2021-04-13T06:15:00Z,TRUE,623.49,155.91,0,2021-04-02T00:00:00Z,779.4,972900,155.91,0.20003849114703617,11.260416666666666
21-03,2021-04-16T06:45:00Z,TRUE,714.6,64.8,0,2021-04-02T00:00:00Z,779.4,1233900,64.8,0.08314087759815242,14.28125
21-03,2021-04-19T06:45:00Z,TRUE,779,54.9,10.3,2021-04-02T00:00:00Z,779.4,1493100,65.2,0.0836540928919682,17.28125
21-03,2021-04-21T07:00:00Z,TRUE,836.192,40.5,22.408,2021-04-02T00:00:00Z,779.4,1666800,62.908,0.0807133692584039,19.291666666666668
21-03,2021-04-23T08:00:00Z,TRUE,874.542,27.5,37.558,2021-04-02T00:00:00Z,779.4,1843200,65.05799999999999,0.08347190146266358,21.333333333333332
21-04,2021-04-05T00:00:00Z,TRUE,0,709.6,0,2021-04-05T00:00:00Z,709.6,0,709.6,1,0
21-04,2021-04-05T12:30:00Z,TRUE,0,709.6,0,2021-04-05T00:00:00Z,709.6,45000,709.6,1,0.5208333333333334
21-04,2021-04-08T07:00:00Z,TRUE,346.90000000000003,362.7,0,2021-04-05T00:00:00Z,709.6,284400,362.7,0.5111330326944757,3.2916666666666665
21-04,2021-04-12T10:30:00Z,TRUE,358.5,351.1,0,2021-04-05T00:00:00Z,709.6,642600,351.1,0.4947857948139797,7.4375
21-04,2021-04-15T06:30:00Z,TRUE,726.8000000000001,333.9,0,2021-04-05T00:00:00Z,709.6,887400,333.9,0.47054678692220964,10.270833333333334
21-04,2021-04-19T06:45:00Z,TRUE,1312.63,74.7,7.27,2021-04-05T00:00:00Z,709.6,1233900,81.97,0.11551578354002254,14.28125
21-04,2021-04-21T07:00:00Z,TRUE,1390.5200000000002,56.7,22.08,2021-04-05T00:00:00Z,709.6,1407600,78.78,0.11102029312288614,16.291666666666668
21-04,2021-04-22T08:30:00Z,FALSE,1398.467,NA,30.333,2021-04-05T00:00:00Z,709.6,1499400,NA,NA,17.354166666666668
21-04,2021-04-23T08:00:00Z,TRUE,1451.537,28.8,45.663,2021-04-05T00:00:00Z,709.6,1584000,74.463,0.10493658399098083,18.333333333333332
21-05,2021-04-08T00:00:00Z,TRUE,0,521,0,2021-04-08T00:00:00Z,521,0,521,1,0
21-05,2021-04-08T10:00:00Z,TRUE,0,521,0,2021-04-08T00:00:00Z,521,36000,521,1,0.4166666666666667
21-05,2021-04-12T09:15:00Z,FALSE,254.2,NA,0,2021-04-08T00:00:00Z,521,378900,NA,NA,4.385416666666667
21-05,2021-04-12T09:55:00Z,FALSE,417.5,NA,0,2021-04-08T00:00:00Z,521,381300,NA,NA,4.413194444444445
21-05,2021-04-15T06:30:00Z,TRUE,431.9,89.1,0,2021-04-08T00:00:00Z,521,628200,89.1,0.17101727447216888,7.270833333333333
21-05,2021-04-19T06:45:00Z,TRUE,531.68,78.42,0,2021-04-08T00:00:00Z,521,974700,78.42,0.15051823416506718,11.28125
21-05,2021-04-20T07:00:00Z,FALSE,548.2159999999999,NA,1.124,2021-04-08T00:00:00Z,521,1062000,NA,NA,12.291666666666666
21-05,2021-04-21T07:00:00Z,FALSE,551.8509999999999,NA,4.649,2021-04-08T00:00:00Z,521,1148400,NA,NA,13.291666666666666
21-05,2021-04-22T06:45:00Z,TRUE,652.6799999999998,48.8,12.219999999999999,2021-04-08T00:00:00Z,521,1233900,61.019999999999996,0.11712092130518234,14.28125
21-05,2021-04-23T08:00:00Z,FALSE,680.6399999999999,NA,21.06,2021-04-08T00:00:00Z,521,1324800,NA,NA,15.333333333333334
21-05,2021-04-24T07:30:00Z,TRUE,803.1199999999999,21.6,35.379999999999995,2021-04-08T00:00:00Z,521,1409400,56.98,0.10936660268714012,16.3125
21-05,2021-04-26T06:30:00Z,TRUE,870.1899999999999,0,54.709999999999994,2021-04-08T00:00:00Z,521,1578600,54.709999999999994,0.10500959692898271,18.270833333333332
21-06,2021-04-09T00:00:00Z,TRUE,0,193.9,0,2021-04-09T00:00:00Z,193.9,0,193.9,1,0
21-06,2021-04-13T06:15:00Z,TRUE,110.2,83.7,0,2021-04-09T00:00:00Z,193.9,368100,83.7,0.43166580711707064,4.260416666666667
21-06,2021-04-16T06:45:00Z,TRUE,156.10000000000002,37.8,0,2021-04-09T00:00:00Z,193.9,629100,37.8,0.19494584837545123,7.28125
21-06,2021-04-20T07:00:00Z,TRUE,189.40000000000003,4.5,0,2021-04-09T00:00:00Z,193.9,975600,4.5,0.023207839092315625,11.291666666666666
21-06,2021-04-22T08:30:00Z,TRUE,189.94000000000003,0,3.96,2021-04-09T00:00:00Z,193.9,1153800,3.96,0.02042289840123775,13.354166666666666
21-07,2021-04-12T00:00:00Z,TRUE,0,463.3,0,2021-04-12T00:00:00Z,463.3,0,463.3,1,0
21-07,2021-04-15T06:30:00Z,TRUE,307.6,155.7,0,2021-04-12T00:00:00Z,463.3,282600,155.7,0.3360673429743147,3.2708333333333335
21-07,2021-04-19T06:45:00Z,TRUE,284.20000000000005,179.1,0,2021-04-12T00:00:00Z,463.3,629100,179.1,0.3865745737103389,7.28125
21-07,2021-04-22T06:45:00Z,TRUE,331,132.3,0,2021-04-12T00:00:00Z,463.3,888300,132.3,0.28556011223829053,10.28125
21-07,2021-04-26T06:30:00Z,TRUE,429.72,31.5,2.08,2021-04-12T00:00:00Z,463.3,1233000,33.58,0.07248003453485861,14.270833333333334
21-07,2021-04-28T08:35:00Z,TRUE,423.39500000000004,32.66,7.245,2021-04-12T00:00:00Z,463.3,1413300,39.904999999999994,0.08613209583423266,16.35763888888889
21-07,2021-04-29T08:15:00Z,FALSE,423.98400000000004,NA,12.315999999999999,2021-04-12T00:00:00Z,463.3,1498500,NA,NA,17.34375
21-07,2021-04-30T07:00:00Z,TRUE,422.11,18.36,22.83,2021-04-12T00:00:00Z,463.3,1580400,41.19,0.08890567666738614,18.291666666666668
21-07,2021-05-02T07:20:00Z,TRUE,421.73,12.6,28.97,2021-04-12T00:00:00Z,463.3,1754400,41.57,0.08972587955968055,20.305555555555554
21-08,2021-04-13T00:00:00Z,TRUE,0,160,0,2021-04-13T00:00:00Z,160,0,160,1,0
21-08,2021-04-19T06:45:00Z,TRUE,97.9,62.1,0,2021-04-13T00:00:00Z,160,542700,62.1,0.388125,6.28125
21-08,2021-04-22T06:45:00Z,TRUE,99.70000000000002,60.3,0,2021-04-13T00:00:00Z,160,801900,60.3,0.37687499999999996,9.28125
21-08,2021-04-26T05:30:00Z,TRUE,132.83,27.17,0,2021-04-13T00:00:00Z,160,1143000,27.17,0.1698125,13.229166666666666
21-08,2021-04-29T07:00:00Z,TRUE,124.10000000000002,31.5,4.4,2021-04-13T00:00:00Z,160,1407600,35.9,0.224375,16.291666666666668
21-08,2021-05-01T07:20:00Z,TRUE,117.14000000000001,27,15.860000000000001,2021-04-13T00:00:00Z,160,1581600,42.86,0.267875,18.305555555555554
21-08,2021-05-03T06:45:00Z,TRUE,116.26000000000002,18.9,24.840000000000003,2021-04-13T00:00:00Z,160,1752300,43.74,0.27337500000000003,20.28125
